paperCount,citationCount,mutual_edge,ego_edge,hub,authority,average_degress,density,shortest_path,transitivity,num_community,node,neighbour_paper_mean,neighbour_citation_mean,neighbour_gender_ratio,gender,2015Ranking,ElectionYear,new_Id,subject
0.369077307,0.411584976,0.108790107,0.035164835,1,0.714779785,0.055892574,0.017930347,0.802330509,0.052204156,0.526315789,0.001563107,0.359331476,0.201507414,0.15580036,0,4,1975,2137000881,34
0.623601221,0.26321251,0.206253124,0.169187817,1,0.95331536,0.054834277,0.006915827,0.590893648,0.100193153,0.523809524,0.004387703,0.20663994,0.109488506,0.329246287,0,4,1976,391825833,14
0.171922686,0.047647087,0.292694423,0.294304636,1,0.997810059,0.023565519,0.011773634,0.781656437,0.216207552,0.333333333,0.00070152,0.371880347,0.19246591,0.503940643,0,4,1976,2013333237,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,4,1977,2644234462,52
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1977,2139352781,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1977,2148526247,13
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.000308912,0.146764846,0.113504263,0.196551724,0,0,1977,2723801622,13
0.378954608,0.684806866,0,0.018348624,1,0.701519037,0.000682986,0.007828388,0.625063818,0.007544041,0.714285714,0.000169751,0.705499896,0.523527496,0.341085271,0,7,1977,2140620753,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,1978,2133012373,12
0.137157107,0.064232171,0,0,1,0.217391304,0,-1,0,-1,0,7.61E-06,0.979094937,0.382550083,0.28125,0,0,1978,1941499373,34
0.073753815,0.025826536,0.481706939,0.44640884,1,0.998953639,0.044808372,0.02551995,0.531343552,0.447176424,0.380952381,0.000978813,0.30273959,0.189020102,0.08652656,0,20,1978,2435120559,14
0.180061038,0.047140306,0.516500439,0.480528634,1,0.997867885,0.059613433,0.020229369,0.547056018,0.449332475,0.238095238,0.001921457,0.19871515,0.175705692,0.300106944,0,141,1978,2090637068,14
0.158706833,0.060017509,0.093311359,0.045155993,1,0.775962876,0.017543034,0.022534823,0.585950038,0.07797139,0.5,0.002317819,0.330197989,0.098065546,0.181377442,0,126,1978,2685464758,52
0.349093775,0.235828039,0.207407407,0.268199234,1,0.756613757,0.080683523,0.029769434,0.812442818,0.01142132,0.5,0.001637912,0.329643745,0.223744762,0.152360124,0,2,1978,2148915000,54
0.921668362,1,0.247086601,0.032712551,1,0.694110764,0.010271055,0.01153793,0.987748431,0.053234657,0.333333333,0.000400115,0.43810467,0.266596331,0.549011026,0,2,1978,1234242328,14
0.09929078,0.064746323,0,0,1,0.107142857,0.060001268,0.397933106,0.318828911,0,0,0.000194123,0.934052953,0.365567937,0.374551971,0,132,1979,603834321,54
0.429298067,0.2545007,0.20139901,0.118823529,1,0.984030013,0.038033372,0.004055615,0.460554326,0.041438236,0.428571429,0.004040334,0.199670481,0.141058984,0.273033506,0,8,1979,1894672207,14
0.232451679,0.079916984,0.47881143,0.480952381,1,1,0.064486628,0.016575537,0.542381077,0.306175896,0.380952381,0.00263654,0.233026464,0.146870089,0.249015392,0,0,1979,2138996239,14
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,14,1980,2145599191,52
0.667573449,0.477297786,0.180400183,0.127924273,1,0.998673904,0.005327515,0.006997514,0.505665578,0.061524974,0.55,0.000772848,0.155118489,0.148728326,0.154712172,0,8,1980,2135099350,13
0.019944979,0,0.165324245,0.016304348,1,0.766045826,0.00579318,0.045319244,0.523148815,0.142605853,0.428571429,0.000207776,0.527297928,0.09927422,0.40625,0,6,1980,2128999097,12
0.354114713,0.467879002,0.124717195,0.102003643,0.99587912,0.974916388,0.100229042,0.024701616,0.561215318,0.049607023,0.368421053,0.002770962,0.500060303,0.254464385,0.10117773,0,8,1980,1964658237,34
0.54577823,0.313152179,0.270335821,0.159211823,1,0.992966681,0.044312443,0.005441396,0.628947518,0.165781421,0.523809524,0.00371331,0.426215204,0.250063715,0.3654649,0,201,1980,2344364203,14
0.830620549,0.302220184,0.398389631,0.20592233,1,0.986959206,0.025929588,0.007649145,0.643870194,0.183208764,0.714285714,0.001374407,0.608798495,0.176376713,0.334247933,0,4,1980,2158426025,14
0.335707019,0.395936097,0.64073285,0.569395973,1,0.995712229,0.048423676,0.030576649,0.648494017,0.662190423,0.238095238,0.000955454,0.279811703,0.228704323,0.263766451,0,27,1980,2121096718,14
0.062054934,0.089058352,0.756940299,0,1,0.141990291,0.011139032,0.196972786,0.464533438,0.996375322,0.095238095,3.01E-05,0.487665261,0.772815923,0.243355951,0,1,1981,1944905187,14
0,0.020968552,0.036498316,0.037974684,0.805714284,0.057777416,0.000223299,0.006073552,0.498538219,0.000871805,0.428571429,0.000108641,0.784682389,0.933686847,0.1,0,7,1981,2991038100,12
0.124047878,0.09477684,0.201916558,0.074137931,1,0.897905332,0.004628497,0.009555295,0.705705512,0.060675383,0.6,0.000513394,0.101281524,0.111344711,0.351362625,0,6,1981,2137834256,13
0.283614989,0.341639442,0.061204898,0.018558689,1,0.91592816,0.029654341,0,0.728481722,0.017581642,0.75,0.028412321,0.280259018,0.110143021,0.330298243,0,301,1981,2059411455,52
0.118991332,0.508049778,0.269264836,0.14957265,1,0.989877262,0.185776952,0.01296116,0.775905868,0.119702397,0.666666667,0.013697799,0.348926649,0.256504525,0.129766037,0,11,1981,2293679170,54
0.138691883,0.3526499,0.167901235,0.052552553,1,0.619047619,0.119320703,0.033253786,0.959350698,0.128536783,0.416666667,0.004913737,0.337009027,0.221075216,0.315043714,0,75,1981,2160317845,54
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,16,1982,2072284710,52
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,26,1982,2162100089,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1982,2619025140,13
0.199369582,0.118014098,0.666666667,0,0.083333334,0.226190476,0.050001057,0.665518392,0.221408966,0,0,7.28E-05,0.698225001,0.658886143,0,0,14,1982,2250833063,54
0.186071817,0.102413804,0.355657986,0.181226054,1,0.690745179,0.002463205,0.112442269,0.435933694,0.301965481,0.25,4.12E-05,0.093541964,0.072983497,0.31848659,0,29,1982,2036686040,13
0.224700762,0.203494565,0.20236971,0.084886553,1,0.789895409,0.002949943,0.020414365,0.493533744,0.085174439,0.4,0.000180483,0.136529181,0.125097988,0.199000967,0,0,1982,2131140817,13
0.210579858,0.144007915,0.561620996,0.553095238,1,0.999439727,0.03999925,0.022800216,0.59297036,0.469221192,0.333333333,0.000914011,0.130462449,0.071239358,0.35165572,0,19,1982,1816386404,14
0.585452696,0.425503161,0.284836874,0.195391181,1,0.999815574,0.028442822,0.003466279,0.643853184,0.152060245,0.571428571,0.002776694,0.352660443,0.246156291,0.419177715,0,28,1982,2069008278,14
0.224700762,0.087968356,0.432736913,0.403554924,1,0.985965566,0.002559808,0.060047405,0.651897953,0.294031825,0.3,6.26E-05,0.132075276,0.112326516,0.146680391,0,37,1982,2138223038,13
0.427097662,0.213883878,0.525623843,0.40625,1,0.983690365,0.004740645,0.075269043,0.706279746,0.363277793,0.285714286,0.000110387,0.222896398,0.103017504,0,0,5,1982,2167195252,12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,0,1983,2431292407,12
0.036996736,0.009568007,0.415800587,0.863488844,0.476793249,0.911426143,0.015639276,0.269110442,0.262375777,0.596619679,0.1,0.000153726,0.170205118,0.181195017,0,0,0,1983,2716474120,13
0.07629705,0.016825136,0.357047311,0.283508772,1,0.874977102,0.012522972,0.045907214,0.555930635,0.235713933,0.19047619,0.000159745,0.319360266,0.148594144,0.500617957,0,18,1983,1779564548,14
0.081892167,0.051961967,0.46099107,0.396448598,1,0.999526073,0.038583622,0.01782517,0.601056505,0.319693101,0.476190476,0.001080537,0.422486546,0.243622542,0.36965461,0,97,1983,432043656,14
0.200915565,0.151537236,0.341544853,0.33502439,1,0.999695378,0.030327207,0.007196356,0.624389067,0.207169898,0.476190476,0.001681086,0.360415705,0.195673188,0.427970811,0,132,1983,2137300043,14
0.292356186,0.23455748,0.234578627,0.239316239,1,0.998758843,0.237967992,0.007805245,0.726804792,0.092180633,0.833333333,0.027929436,0.39079569,0.246670872,0.181643625,0,38,1983,2090569453,54
